stock,timestamp,open,high,low,close,volume
ADANIPORTS,2018-08-31,402.9500,406.4000,367.3000,383.1500,57426811
ADANIPORTS,2018-07-31,371.0000,402.4500,355.6000,399.7500,46442874
ADANIPORTS,2018-06-29,394.1000,395.4000,355.1500,373.1500,67266667
ADANIPORTS,2018-05-31,408.0000,415.6500,364.7000,392.1500,66024227
ADANIPORTS,2018-04-30,356.0000,411.3000,356.0000,407.3000,72262375
ADANIPORTS,2018-03-28,408.3500,413.7500,350.4500,354.1000,76399301
ADANIPORTS,2018-02-28,431.0000,433.0000,387.0000,408.3500,48736456
ADANIPORTS,2018-01-31,406.7000,452.3500,395.0000,428.8500,91364370
ADANIPORTS,2017-12-29,400.9000,414.5000,374.0500,405.6500,85848826
ADANIPORTS,2017-11-30,432.0000,443.3000,395.0000,398.0000,86772591
ADANIPORTS,2017-10-31,377.5500,439.0000,375.1000,430.3500,65064056
ADANIPORTS,2017-09-29,394.9500,414.7000,363.7000,376.7500,68583352
ADANIPORTS,2017-08-31,397.4500,421.5000,369.6500,392.9500,64604166
ADANIPORTS,2017-07-31,364.9000,398.4500,359.5000,395.9000,67028478
ADANIPORTS,2017-06-30,337.6000,377.7000,337.6000,363.0500,87298310
ADANIPORTS,2017-05-31,328.7500,362.5500,323.9000,339.0000,94271017
ADANIPORTS,2017-04-28,340.6000,359.2500,317.6000,327.7000,85427717
ADANIPORTS,2017-03-31,302.9500,342.7000,291.0000,339.6000,84663638
ADANIPORTS,2017-02-28,295.5500,315.9000,293.6500,301.7500,60673961
ADANIPORTS,2017-01-31,269.8000,308.9500,267.0000,293.3500,68379565
ADANIPORTS,2016-12-30,280.0000,291.6500,257.2500,268.4500,72455318
ADANIPORTS,2016-11-30,307.0000,308.0000,245.1500,277.9000,97722875
ADANIPORTS,2016-10-28,260.7000,317.0000,248.1000,307.0000,103956760
ADANIPORTS,2016-09-30,263.1500,277.7000,249.1000,256.7500,88897430
ADANIPORTS,2016-08-31,234.4500,279.7000,221.5000,262.9500,134998949
ADANIPORTS,2016-07-29,205.1000,233.5000,203.8000,232.4000,93620903
ADANIPORTS,2016-06-30,192.8500,211.9000,192.5000,206.8500,96614344
ADANIPORTS,2016-05-31,237.0000,242.4500,169.7000,192.1500,198503146
ADANIPORTS,2016-04-29,248.0000,249.4500,214.7000,238.2000,66031440
ADANIPORTS,2016-03-31,198.0000,250.0000,196.3500,247.7000,62970988
ADANIPORTS,2016-02-29,213.2500,223.9500,169.1500,196.7000,89682732
ADANIPORTS,2016-01-29,261.0000,268.3000,207.1500,212.2500,79768159
ADANIPORTS,2015-12-31,269.0000,269.3500,238.7500,260.9000,68928502
ADANIPORTS,2015-11-30,293.1000,302.7000,261.6000,268.0000,64574740
ADANIPORTS,2015-10-30,302.9500,331.0000,294.3500,296.2500,57281187
ADANIPORTS,2015-09-30,344.9500,354.7500,293.0000,299.0000,78352913
ADANIPORTS,2015-08-31,326.0000,374.8000,324.0000,355.4500,126748009
ADANIPORTS,2015-07-31,308.8000,334.7000,306.5000,325.0000,75588488
ADANIPORTS,2015-06-30,325.8000,325.8000,288.0000,307.9000,95889363
ADANIPORTS,2015-05-29,325.5500,354.8000,315.4000,323.8500,50612884
ADANIPORTS,2015-04-30,308.4500,333.6000,298.5000,317.5500,34794555
ADANIPORTS,2015-03-31,334.5000,343.3000,295.4000,308.2000,55957757
ADANIPORTS,2015-02-28,339.5000,349.6500,0.0000,0.0000,44106318
ADANIPORTS,2015-01-30,319.0000,352.7500,315.6000,341.0500,59235956
ADANIPORTS,2014-12-31,290.0000,321.3000,266.0500,319.0500,58603340
ADANIPORTS,2014-11-28,287.4000,308.7500,283.5000,290.2500,47461059
ADANIPORTS,2014-10-31,277.0500,288.0000,244.1000,285.6500,41351309
ADANIPORTS,2014-09-30,285.8000,301.5000,261.1000,277.5500,67202739
ADANIPORTS,2014-08-28,257.3500,302.7000,255.6000,282.8500,87644464
ADANIPORTS,2014-07-31,245.4500,293.8500,242.7000,260.5500,159790434
ADANIPORTS,2014-06-30,229.0000,261.8000,219.6500,243.7000,84485328
ADANIPORTS,2014-05-30,190.0000,244.7000,182.5000,227.5000,153931352
ADANIPORTS,2014-04-30,188.7000,213.0500,174.6000,188.2000,98631191
ADANIPORTS,2014-03-31,168.0000,192.8000,0.0000,187.4500,43878353
ADANIPORTS,2014-02-28,146.4000,170.7000,141.9500,167.2500,36688462
ADANIPORTS,2014-01-31,154.5500,159.4000,141.0000,146.9500,33962390
ADANIPORTS,2013-12-31,158.5500,169.1500,150.5000,155.4000,43684141
