stocks,timestamp,open,high,low,close,volume
ADANIPORTS,2018-09-21,377.3000,388.0000,316.5500,361.7500,9455922
ADANIPORTS,2018-09-14,375.6500,385.9000,363.0000,380.1000,12232081
ADANIPORTS,2018-09-07,384.0000,392.9500,368.5000,377.4500,11662112
ADANIPORTS,2018-08-31,378.0000,394.0000,375.5500,383.1500,17916779
ADANIPORTS,2018-08-24,376.4000,387.8000,372.5000,376.7500,6971613
ADANIPORTS,2018-08-17,378.0000,379.6000,367.3000,374.1000,7300163
ADANIPORTS,2018-08-10,403.5000,406.4000,369.2000,379.3000,18864781
ADANIPORTS,2018-08-03,395.0000,404.6000,386.1500,399.5500,10526177
ADANIPORTS,2018-07-27,370.2000,402.4500,370.0000,394.6500,16119034
ADANIPORTS,2018-07-20,370.5000,376.9000,358.5000,370.0500,8605372
ADANIPORTS,2018-07-13,367.0000,378.3000,365.6000,370.4000,9652462
ADANIPORTS,2018-07-06,371.0000,373.9000,355.6000,365.7500,7913304
ADANIPORTS,2018-06-29,366.0000,377.4000,355.1500,373.1500,19768357
ADANIPORTS,2018-06-22,373.0000,375.7500,357.2000,365.8000,15943224
ADANIPORTS,2018-06-15,384.0000,392.0000,369.8000,372.9500,16157065
ADANIPORTS,2018-06-08,388.0000,388.9500,371.5000,380.5000,12178449
ADANIPORTS,2018-06-01,382.5000,397.6000,369.2500,387.6000,22666019
ADANIPORTS,2018-05-25,389.3500,392.5500,364.7000,379.9000,10639052
ADANIPORTS,2018-05-18,413.9500,414.0000,384.0500,389.5000,16014690
ADANIPORTS,2018-05-11,410.0000,415.6500,405.9500,412.7000,8932062
ADANIPORTS,2018-05-04,405.8000,411.3000,391.3000,408.2500,13256120
ADANIPORTS,2018-04-27,381.4500,405.9000,375.5500,402.4500,21788204
ADANIPORTS,2018-04-20,381.7500,393.9500,378.9500,381.1500,14048419
ADANIPORTS,2018-04-13,380.6500,390.5000,369.2500,383.1000,17206367
ADANIPORTS,2018-04-06,356.0000,383.6000,356.0000,379.3000,16955241
ADANIPORTS,2018-03-28,364.4000,369.4000,351.0500,354.1000,11281956
ADANIPORTS,2018-03-23,370.0000,373.7500,350.4500,362.4000,17292299
ADANIPORTS,2018-03-16,382.0000,391.4000,367.4500,370.5000,16276748
ADANIPORTS,2018-03-09,404.9500,413.7500,369.7000,377.9000,30331613
ADANIPORTS,2018-03-01,407.5000,417.0000,403.1000,406.1000,7673487
ADANIPORTS,2018-02-23,407.5000,409.2500,387.2000,406.5000,12665634
ADANIPORTS,2018-02-16,403.7500,424.0000,400.0000,405.4500,9284545
ADANIPORTS,2018-02-09,408.0000,416.1500,387.0000,399.0000,14381857
ADANIPORTS,2018-02-02,436.5000,442.3500,412.0000,417.9500,13198361
ADANIPORTS,2018-01-25,434.0000,452.3500,429.1000,436.5000,23746453
ADANIPORTS,2018-01-19,425.5500,438.1500,409.3500,433.4500,27016268
ADANIPORTS,2018-01-12,424.0000,430.6500,411.5500,423.3000,17208201
ADANIPORTS,2018-01-05,406.7000,426.9500,395.0000,423.8000,16142705
ADANIPORTS,2017-12-29,403.7500,407.1500,397.5500,405.6500,15576344
ADANIPORTS,2017-12-22,395.8000,414.5000,374.0500,402.1500,21842573
ADANIPORTS,2017-12-15,396.0000,408.0000,384.5000,401.3500,23411294
ADANIPORTS,2017-12-08,386.7500,396.9000,377.3500,393.4000,23181618
ADANIPORTS,2017-12-01,404.5000,405.6000,382.0500,386.7500,21601167
ADANIPORTS,2017-11-24,400.9500,416.6500,397.1000,404.6000,20305174
ADANIPORTS,2017-11-17,433.0000,433.5500,395.0000,400.9500,20358718
ADANIPORTS,2017-11-10,434.0000,443.3000,426.1000,432.0500,16238982
ADANIPORTS,2017-11-03,436.5000,440.8000,425.6000,434.8500,14989123
ADANIPORTS,2017-10-27,403.2000,439.0000,400.0500,432.0500,17286360
ADANIPORTS,2017-10-19,409.1000,410.8000,397.0000,401.4000,11279316
ADANIPORTS,2017-10-13,388.0000,409.5000,382.1000,408.2000,20997055
ADANIPORTS,2017-10-06,377.5500,392.3000,375.1000,389.2500,10617749
ADANIPORTS,2017-09-29,400.1000,401.1500,363.7000,376.7500,16433728
ADANIPORTS,2017-09-22,406.9000,414.7000,397.7000,401.2000,21733065
ADANIPORTS,2017-09-15,387.5000,409.7500,384.3000,405.1500,18599850
ADANIPORTS,2017-09-08,396.0000,396.0000,380.3000,385.9000,10305341
ADANIPORTS,2017-09-01,382.0000,397.7000,378.3000,394.9000,13930887
ADANIPORTS,2017-08-24,387.0500,388.7000,369.6500,380.0500,10756899
ADANIPORTS,2017-08-18,385.0000,405.8000,383.3000,386.2000,10448618
ADANIPORTS,2017-08-11,411.8000,421.5000,379.0500,382.7500,19279263
ADANIPORTS,2017-08-04,396.0000,413.5000,393.4000,406.6500,13280877
ADANIPORTS,2017-07-28,383.5000,398.4500,381.1000,395.7500,17369553
ADANIPORTS,2017-07-21,373.8500,384.1000,373.8500,381.9000,24664549
ADANIPORTS,2017-07-14,374.7500,378.4500,371.6500,375.6000,10236628
ADANIPORTS,2017-07-07,364.9000,375.7000,359.5000,371.6000,13176738
ADANIPORTS,2017-06-30,367.9000,372.8000,360.5500,363.0500,9905408
ADANIPORTS,2017-06-23,365.0000,377.7000,361.6500,365.4500,19669774
ADANIPORTS,2017-06-16,359.7000,366.4000,353.5500,363.1500,25761753
ADANIPORTS,2017-06-09,359.9500,368.7500,350.2500,359.8500,25216084
ADANIPORTS,2017-06-02,347.8000,359.4000,325.1000,357.9000,26559537
ADANIPORTS,2017-05-26,352.4000,357.4000,328.1000,348.0000,26320748
ADANIPORTS,2017-05-19,359.0000,359.7500,342.2000,349.4500,9013824
ADANIPORTS,2017-05-12,343.5000,362.5500,335.8000,357.9500,16691683
ADANIPORTS,2017-05-05,328.7500,346.4500,323.9000,344.9500,22430516
ADANIPORTS,2017-04-28,328.1500,334.2000,318.0000,327.7000,18248824
ADANIPORTS,2017-04-21,320.6500,335.2500,317.6000,326.0000,24895195
ADANIPORTS,2017-04-13,348.0500,355.8500,318.3000,320.4500,25451046
ADANIPORTS,2017-04-07,340.6000,359.2500,338.7500,347.1500,16832652
ADANIPORTS,2017-03-31,322.6000,342.7000,316.8000,339.6000,21686171
ADANIPORTS,2017-03-24,327.0500,329.8000,319.3500,323.2500,17971624
ADANIPORTS,2017-03-17,305.6500,328.9000,304.1000,325.4000,23799544
ADANIPORTS,2017-03-10,297.8500,309.4000,296.4500,298.8000,13983703
ADANIPORTS,2017-03-03,297.0000,305.7000,291.0000,296.3500,11909100
ADANIPORTS,2017-02-23,298.2000,306.5000,295.8000,297.2500,14350741
ADANIPORTS,2017-02-17,313.2000,315.9000,294.0000,297.2500,18951259
ADANIPORTS,2017-02-10,305.8500,313.7000,299.0000,311.2500,13156241
ADANIPORTS,2017-02-03,303.7500,311.2500,292.5000,303.5500,15630346
ADANIPORTS,2017-01-27,285.1500,308.9500,284.1500,303.9500,12070789
ADANIPORTS,2017-01-20,294.7000,302.9500,283.4000,284.1500,14029395
ADANIPORTS,2017-01-13,286.3500,299.7500,282.6000,294.0500,17101530
ADANIPORTS,2017-01-06,269.8000,291.8000,267.0000,286.0500,19076721
ADANIPORTS,2016-12-30,262.0000,271.8500,257.2500,268.4500,20296404
ADANIPORTS,2016-12-23,280.9000,281.0000,259.0500,262.9000,12745318
ADANIPORTS,2016-12-16,285.0000,291.6500,278.4500,280.2500,15644019
ADANIPORTS,2016-12-09,266.5000,291.3000,263.7000,285.6500,18876109
ADANIPORTS,2016-12-02,266.9500,281.9000,264.1500,265.9000,20634500
ADANIPORTS,2016-11-25,262.0500,266.0000,245.1500,265.0500,21377230
ADANIPORTS,2016-11-18,280.7000,280.7000,256.8000,261.9000,12862862
ADANIPORTS,2016-11-11,298.3000,298.3000,260.9000,276.7500,25495544
ADANIPORTS,2016-11-04,307.0000,308.0000,284.2500,287.7000,22246207
ADANIPORTS,2016-10-28,285.4000,317.0000,280.5500,307.0000,53064367
ADANIPORTS,2016-10-21,253.0000,288.2500,249.4000,285.7500,22666438
ADANIPORTS,2016-10-14,263.3000,263.3000,248.1000,254.3500,8312276
ADANIPORTS,2016-10-10,268.9500,268.9500,263.1500,264.0000,4104061
ADANIPORTS,2016-10-07,260.7000,269.9500,259.3000,266.8500,15809618
ADANIPORTS,2016-09-30,274.5000,274.5000,249.1000,256.7500,26666457
ADANIPORTS,2016-09-23,272.0000,277.7000,267.8500,275.1000,21251428
ADANIPORTS,2016-09-16,268.9000,275.0000,256.4000,271.1500,17838849
ADANIPORTS,2016-09-09,270.0000,276.5000,266.3000,272.2000,13394310
ADANIPORTS,2016-09-02,253.4500,269.4000,247.5500,268.2000,23811859
ADANIPORTS,2016-08-26,274.4000,279.7000,255.1000,257.7000,24599562
ADANIPORTS,2016-08-19,259.6000,277.9000,258.3000,273.0500,39853207
ADANIPORTS,2016-08-12,235.5000,261.2500,234.0500,258.2500,42878916
ADANIPORTS,2016-08-05,234.4500,236.2500,221.5000,234.0000,13601791
ADANIPORTS,2016-07-29,226.3000,233.5000,222.1500,232.4000,22157802
ADANIPORTS,2016-07-22,221.6500,226.3500,216.1000,225.3500,19791303
ADANIPORTS,2016-07-15,210.2500,223.6500,208.0000,220.5000,27092861
ADANIPORTS,2016-07-08,206.0000,216.4500,204.6000,207.0500,21298361
ADANIPORTS,2016-07-01,202.0000,207.9000,202.0000,204.3000,24143358
ADANIPORTS,2016-06-24,203.3500,209.9500,195.3500,201.9000,19346967
ADANIPORTS,2016-06-17,201.2000,211.9000,197.7000,207.7000,18734141
ADANIPORTS,2016-06-10,201.0000,207.8500,196.0000,202.7500,16574930
ADANIPORTS,2016-06-03,192.7000,206.5000,185.4500,204.5500,31526327
ADANIPORTS,2016-05-27,179.2500,192.9500,177.1000,191.7000,32220220
ADANIPORTS,2016-05-20,189.0000,192.2000,169.7000,177.9500,49708131
ADANIPORTS,2016-05-13,196.1500,200.2500,179.4000,188.5500,42730851
ADANIPORTS,2016-05-06,237.0000,242.4500,190.5500,194.5500,63413141
ADANIPORTS,2016-04-29,231.0000,242.0000,227.0000,238.2000,19395139
ADANIPORTS,2016-04-22,235.8500,236.7500,227.3000,230.1000,18012646
ADANIPORTS,2016-04-13,220.9000,237.9500,218.7500,233.5500,7951913
ADANIPORTS,2016-04-08,249.4500,249.4500,214.7000,219.2500,18898844
ADANIPORTS,2016-04-01,240.4000,250.0000,232.7000,242.9000,13649309
ADANIPORTS,2016-03-23,238.9500,245.0000,236.5000,238.3000,8477378
